Trip_ID,Trip_StartTime,Origin_longitude,Origin_latitude,Dest_longitude,Dest_latitude,Customer_ID,Driver_ID,driver_rated_for_trip,customer_rated_for_trip,Trip_cancellation,Cancelled_by,Reason,year,month,Region,CALENDAR_DATE,hours_range
24024107,2014-10-15 14:18:00,-73.967557,40.756372,-73.992462,40.74811,C29604,D63219,4,3,1,Customer,Delay in arrival,2014,10,Tourist_Spots,15/10/2014,12:00PM-03:00PM
11571140,2014-10-15 15:21:00,-73.970423,40.75168,-73.983432,40.746702,C39752,D43171,3,5,1,Driver,Customer not found on location,2014,10,Industrial_Zones,15/10/2014,03:00PM-06:00PM
36745897,2014-10-15 20:30:00,-73.970377,40.756055,-73.954537,40.767197,C46201,D89828,3,5,1,Driver,Issue with vehicle,2014,10,Airport,15/10/2014,06:00PM-09:00PM
17348170,2014-10-15 21:11:00,-74.002998,40.74419,-73.994778,40.750422,C17207,D36668,5,5,1,Driver,Customer not found on location,2014,10,Tourist_Spots,15/10/2014,06:00PM-09:00PM
32491041,2014-10-15 21:28:49,-73.98021,40.722329,-74.000817,40.730696,C44285,D57089,5,4,1,Customer,Delay in arrival,2014,10,Pubs,15/10/2014,06:00PM-09:00PM
27704986,2014-10-16 04:55:56,-73.987239,40.756074,-73.99909,40.760008,C24982,D63151,2,5,1,Driver,Inappropriate behavior of customer,2014,10,Tourist_Spots,16/10/2014,03:00AM-06:00AM
27875790,2014-10-16 07:42:43,-73.969617,40.761458,-73.8711,40.774086,C51027,D11048,2,5,1,Driver,Issue with vehicle,2014,10,Sports_Arenas,16/10/2014,06:00AM-09:00AM
42802659,2014-10-16 11:20:00,-73.981352,40.753007,-73.951272,40.771825,C50924,D57089,4,4,1,Driver,Delay due to traffic,2014,10,Tourist_Spots,16/10/2014,09:00AM-12:00PM
9712292,2014-10-16 11:33:00,-73.985012,40.753737,-73.982383,40.747697,C31645,D79566,3,5,1,Driver,Customer not found on location,2014,10,Industrial_Zones,16/10/2014,09:00AM-12:00PM
8007111,2014-10-16 11:46:00,-73.970577,40.764535,-73.981505,40.780442,C38802,D12502,3,2,1,Driver,Issue with vehicle,2014,10,Airport,16/10/2014,09:00AM-12:00PM
